Elapsed_seconds	Rx-Mbps_[with_hdr]
184.50	7999.71
185.00	8002.31
185.50	7998.86
186.00	8000.42
186.50	7998.89
187.00	8000.86
187.50	8001.24
188.00	7998.51
188.50	8000.67
189.00	8000.82
189.50	8001.08
190.00	7998.39
190.50	7999.95
191.00	8000.74
191.50	7997.61
192.00	8000.90
192.50	8000.08
193.00	8001.69
193.50	8842.72
194.00	11976.75
194.50	11969.43
195.00	11975.71
195.50	11973.00
196.00	11962.91
196.50	11975.11
197.00	11973.04
197.50	11976.41
198.00	11973.02
198.50	11971.58
199.00	11972.10
199.50	11970.36
200.00	11972.42
200.50	11967.92
201.00	11969.08
201.50	11971.99
202.00	11969.61
202.50	11972.71
203.00	11971.10
203.50	11977.50
204.00	11974.77
204.50	11976.19
205.00	11972.52
205.50	11971.75
206.00	11972.32
206.50	11973.48
207.00	11969.32
207.50	11972.21
208.00	11968.84
208.50	11973.08
209.00	11970.28
209.50	11972.48
210.00	11970.08
210.50	11974.43
211.00	11970.63
211.50	11975.09
212.00	11977.96
212.50	11975.05
213.00	11972.38
213.50	11974.83
214.00	11975.39
214.50	11973.22
215.00	11971.24
215.50	11974.02
216.00	11967.24
216.50	11972.99
217.00	11969.30
217.50	11973.02
218.00	11970.30
218.50	11972.75
219.00	11969.94
219.50	11973.05
220.00	11976.48
220.50	11972.46
221.00	11977.50
221.50	11974.54
222.00	11976.18
222.50	11972.92
223.00	11971.30
223.50	11975.99
224.00	11970.00
224.50	11974.99
225.00	11973.46
225.50	11973.97
226.00	11974.30
226.50	11973.23
227.00	11973.08
227.50	11973.46
228.00	11972.36
228.50	11975.54
229.00	11968.65
229.50	11961.46
230.00	11975.59
230.50	11971.40
231.00	11973.70
231.50	11973.40
232.00	11975.70
232.50	11975.58
233.00	11970.61
233.50	11978.84
234.00	11972.01
234.50	11975.00
235.00	11971.99
235.50	11972.36
236.00	11972.54
236.50	11976.43
237.00	11972.75
237.50	11976.40
238.00	11974.08
238.50	11976.09
239.00	11976.68
239.50	11976.30
240.00	11962.71
240.50	11976.64
241.00	11974.40
241.50	11975.26
242.00	11976.20
242.50	11971.62
243.00	11967.90
243.50	11975.46
244.00	11966.89
244.50	11974.16
245.00	11972.47
245.50	11971.40
246.00	11972.13
246.50	11971.72
247.00	11973.78
247.50	11975.77
248.00	11976.97
248.50	11973.48
249.00	11970.22
249.50	11975.65
250.00	11975.66
250.50	11974.88
251.00	11976.89
251.50	11975.77
252.00	11978.88
252.50	11978.65
253.00	11979.63
253.50	12542.35
254.00	14348.29
254.50	14364.41
255.00	14364.70
255.50	14356.02
256.00	14365.13
256.50	14370.04
257.00	14361.28
257.50	14370.50
258.00	14371.10
258.50	14362.22
259.00	14364.18
259.50	14367.49
260.00	14366.04
260.50	14372.90
261.00	14362.65
261.50	14372.61
262.00	14363.24
262.50	14368.34
263.00	14374.14
263.50	14370.42
264.00	14371.36
264.50	14357.56
265.00	14372.45
265.50	14365.31
266.00	14369.47
266.50	14357.33
267.00	14362.00
267.50	14366.75
268.00	14351.40
268.50	14368.18
269.00	14372.71
269.50	14372.01
270.00	14379.94
270.50	14383.37
271.00	14361.15
271.50	14368.18
272.00	14365.86
272.50	14364.84
273.00	14369.99
273.50	14369.03
274.00	14372.46
274.50	14375.42
275.00	14368.97
275.50	14370.57
276.00	14369.22
276.50	14362.18
277.00	14364.16
277.50	14362.82
278.00	14361.89
278.50	14368.05
279.00	14368.61
279.50	14371.52
280.00	14368.78
280.50	14366.23
281.00	14374.75
281.50	14370.58
282.00	14366.43
282.50	14372.20
283.00	14363.90
283.50	14370.18
284.00	14370.00
284.50	14364.96
285.00	14367.02
285.50	14373.41
286.00	14371.01
286.50	14371.17
287.00	14369.52
287.50	14367.39
288.00	14367.52
288.50	14374.58
289.00	14359.62
289.50	14367.25
290.00	14358.72
290.50	14366.86
291.00	14365.52
291.50	14366.14
292.00	14347.72
292.50	14370.96
293.00	14371.16
293.50	14366.44
294.00	14355.18
294.50	14361.21
295.00	14364.93
295.50	14359.30
296.00	14371.94
296.50	14365.94
297.00	14354.08
297.50	14356.04
298.00	14358.35
298.50	14374.77
299.00	14369.77
299.50	14365.70
300.00	14353.33
300.50	14368.87
301.00	14366.72
301.50	14371.06
302.00	14354.23
302.50	14362.49
303.00	14369.58
303.50	14362.97
304.00	14367.90
304.50	14373.38
305.00	14364.18
305.50	14367.63
306.00	14369.09
306.50	14357.08
307.00	14360.98
307.50	14370.64
308.00	14346.61
308.50	14373.64
309.00	14356.94
309.50	14367.16
310.00	14371.33
310.50	14349.59
311.00	14374.89
311.50	14361.62
312.00	14371.51
312.50	14369.46
313.00	14362.55
313.50	14999.23
314.00	16817.66
314.50	16821.22
315.00	16832.79
315.50	16820.80
316.00	16823.25
316.50	16815.63
317.00	16818.33
317.50	16819.79
318.00	16826.05
318.50	16821.90
319.00	16821.31
319.50	16823.24
320.00	16821.22
320.50	16818.86
321.00	16819.69
321.50	16821.08
322.00	16818.04
322.50	16821.85
323.00	16820.15
323.50	16818.80
324.00	16824.99
324.50	16814.24
325.00	16820.57
325.50	16813.59
326.00	16815.57
326.50	16821.59
327.00	16813.01
327.50	16806.55
328.00	16817.94
328.50	16825.71
329.00	16830.36
329.50	16811.03
330.00	16808.63
330.50	16819.00
331.00	16817.95
331.50	16808.32
332.00	16826.89
332.50	16825.88
333.00	16822.13
333.50	16828.57
334.00	16822.91
334.50	16833.03
335.00	16819.76
335.50	16821.47
336.00	16822.09
336.50	16823.11
337.00	16829.79
337.50	16818.22
338.00	16823.82
338.50	16823.48
339.00	16827.50
339.50	16818.60
340.00	16835.24
340.50	16829.34
341.00	16820.95
341.50	16824.06
342.00	16815.91
342.50	16826.07
343.00	16818.71
343.50	16806.48
344.00	16826.84
344.50	16819.03
345.00	16827.76
345.50	16812.69
346.00	16809.34
346.50	16826.81
347.00	16828.09
347.50	16820.22
348.00	16817.64
348.50	16821.67
349.00	16823.12
349.50	16817.57
350.00	16807.98
350.50	16818.33
351.00	16817.99
351.50	16801.77
352.00	16804.40
352.50	16795.64
353.00	16802.22
353.50	16803.05
354.00	16804.90
354.50	16799.07
355.00	16818.12
355.50	16814.79
356.00	16815.88
356.50	16821.73
357.00	16820.41
357.50	16821.66
358.00	16804.24
358.50	16815.92
359.00	16824.81
359.50	16826.20
360.00	16822.24
360.50	16815.62
361.00	16818.59
361.50	16825.39
362.00	16824.99
362.50	16824.14
363.00	16815.66
363.50	16828.30
364.00	16824.89
364.50	16818.99
365.00	16824.61
365.50	16822.35
366.00	16833.85
366.50	16827.47
367.00	16828.24
367.50	16819.17
368.00	16825.52
368.50	16818.95
369.00	16817.91
369.50	16827.53
370.00	16807.91
370.50	16818.28
371.00	16818.93
371.50	16824.72
372.00	16814.13
372.50	16825.40
373.00	16824.37
373.50	17192.23
374.00	18305.21
374.50	1097.79
375.00	0.00
375.50	0.00
376.00	0.00
376.50	0.00
377.00	0.00
377.50	0.00
378.00	0.00
378.50	0.00
379.00	0.00
379.50	0.00
380.00	0.00
380.50	0.00
381.00	0.00
381.50	0.00
382.00	0.00
382.50	0.00
383.00	0.00
383.50	0.00
384.00	0.00
384.50	0.00
385.00	0.00
385.50	0.00
386.00	0.00
386.50	0.00
387.00	0.00
387.50	0.00
388.00	0.00
