Elapsed_seconds	Tx-Mbps_[with_hdr]
185.50	5469.54
186.00	5469.58
186.50	5469.12
187.00	5469.63
187.50	5469.73
188.00	5469.52
188.50	5469.07
189.00	5469.32
189.50	5469.42
190.00	5469.69
190.50	5469.06
191.00	5469.18
191.50	5469.38
192.00	5469.15
192.50	5469.45
193.00	5469.38
193.50	5469.73
194.00	5469.39
194.50	5469.44
195.00	5469.37
195.50	5469.38
196.00	5469.15
196.50	5469.31
197.00	5469.81
197.50	5469.30
198.00	5469.47
198.50	5469.41
199.00	5469.32
199.50	5469.45
200.00	5469.34
200.50	5469.34
201.00	5469.16
201.50	5468.14
202.00	5469.33
202.50	5468.97
203.00	5469.46
203.50	5469.47
204.00	5469.65
204.50	5469.08
205.00	5469.55
205.50	6672.18
206.00	8268.38
206.50	8267.70
207.00	8268.41
207.50	8268.17
208.00	8268.27
208.50	8267.98
209.00	8268.02
209.50	8268.26
210.00	8268.18
210.50	8268.02
211.00	8268.18
211.50	8268.01
212.00	8267.70
212.50	8268.17
213.00	8268.28
213.50	8268.63
214.00	8267.92
214.50	8267.94
215.00	8267.70
215.50	8267.84
216.00	8267.66
216.50	8266.52
217.00	8268.38
217.50	8268.30
218.00	8268.39
218.50	8267.52
219.00	8268.43
219.50	8267.91
220.00	8268.40
220.50	8268.45
221.00	8268.31
221.50	8267.93
222.00	8268.00
222.50	8267.85
223.00	8267.58
223.50	8268.85
224.00	8268.61
224.50	8267.94
225.00	8268.12
225.50	8267.94
226.00	8268.11
226.50	8267.68
227.00	8268.06
227.50	8268.23
228.00	8268.54
228.50	8267.48
229.00	8266.53
229.50	8268.42
230.00	8268.62
230.50	8266.46
231.00	8267.48
231.50	8267.95
232.00	8267.97
232.50	8267.63
233.00	8268.07
233.50	8268.21
234.00	8268.81
234.50	8267.52
235.00	8267.94
235.50	8267.93
236.00	8268.72
236.50	8266.59
237.00	8267.79
237.50	8267.61
238.00	8267.48
238.50	8267.85
239.00	8267.63
239.50	8266.32
240.00	8267.72
240.50	8267.39
241.00	8267.11
241.50	8267.82
242.00	8267.95
242.50	8267.20
243.00	8268.11
243.50	8267.83
244.00	8268.04
