Elapsed_seconds	Rx-Mbps_[with_hdr]
183.50	7998.69
184.00	8001.74
184.50	7994.04
185.00	9884.62
185.50	11963.24
186.00	11963.35
186.50	11967.36
187.00	11965.02
187.50	11951.36
188.00	11965.65
188.50	11966.96
189.00	11968.45
189.50	11964.50
190.00	11965.91
190.50	11963.03
191.00	11956.87
191.50	11962.94
192.00	11963.09
192.50	11965.26
193.00	11961.87
193.50	11961.36
194.00	11963.77
194.50	11964.00
195.00	11967.70
195.50	11961.94
196.00	11961.60
196.50	11964.40
197.00	11964.63
197.50	11962.67
198.00	11963.90
198.50	11966.75
199.00	11964.89
199.50	11966.93
200.00	11964.48
200.50	11964.97
201.00	11955.14
201.50	11965.72
202.00	11961.06
202.50	11967.05
203.00	11965.86
203.50	11964.07
204.00	11959.42
204.50	11963.26
205.00	11966.65
205.50	11963.94
206.00	11963.68
206.50	11965.19
207.00	11966.29
207.50	11964.30
208.00	11957.74
208.50	11969.72
209.00	11960.56
209.50	11964.86
210.00	11963.16
210.50	11962.46
211.00	11963.09
211.50	11959.40
212.00	11967.07
212.50	11963.42
213.00	11968.93
213.50	11963.64
214.00	11961.54
214.50	11958.04
215.00	11965.10
215.50	11965.79
216.00	11965.31
216.50	11964.69
217.00	11969.44
217.50	11966.54
218.00	11965.60
218.50	11965.92
219.00	11967.90
219.50	11963.27
220.00	11961.97
220.50	11956.43
221.00	11964.83
221.50	11965.86
222.00	11962.62
222.50	11962.05
223.00	11966.38
223.50	11957.34
224.00	11961.77
224.50	11967.81
225.00	11968.68
225.50	11965.38
226.00	11965.68
226.50	11969.24
227.00	11966.39
227.50	11967.27
228.00	11966.16
228.50	11968.61
229.00	11965.50
229.50	11965.33
230.00	11971.28
230.50	11967.90
231.00	11968.36
231.50	11962.01
232.00	11968.96
232.50	11969.67
233.00	11966.58
233.50	11965.83
234.00	11965.98
234.50	11963.41
235.00	11968.25
235.50	11961.50
236.00	11966.51
236.50	11962.68
237.00	11961.69
237.50	11970.75
238.00	11968.05
238.50	11968.09
239.00	11964.01
239.50	11970.90
240.00	11972.83
