Elapsed_seconds	Tx-Mbps_[with_hdr]
186.50	10798.94
187.00	10798.72
187.50	10796.86
188.00	10798.85
188.50	10799.08
189.00	10797.79
189.50	10796.44
190.00	10800.50
190.50	10800.53
191.00	10800.04
191.50	10796.00
192.00	10797.05
192.50	10797.20
193.00	10799.68
193.50	10798.31
194.00	10797.65
194.50	10798.15
195.00	10798.34
195.50	10797.84
196.00	10800.18
196.50	10798.85
197.00	10796.29
197.50	10796.38
198.00	10799.28
198.50	10799.90
199.00	10800.38
199.50	10799.33
200.00	10798.23
200.50	10798.72
201.00	10799.04
201.50	10797.28
202.00	10798.33
202.50	10795.75
203.00	10797.96
203.50	10799.95
204.00	10799.03
204.50	10795.33
205.00	10799.28
205.50	10798.41
206.00	10798.69
206.50	10798.96
207.00	10798.99
207.50	10797.78
208.00	10800.30
208.50	10799.07
209.00	10798.47
209.50	10796.39
210.00	10797.03
210.50	10796.98
211.00	10799.05
211.50	10798.33
212.00	10797.41
212.50	11265.97
213.00	16202.32
213.50	16222.52
214.00	16219.44
214.50	16220.36
215.00	16214.82
215.50	16221.99
216.00	16224.00
216.50	16224.80
217.00	16218.45
217.50	16222.33
218.00	16220.61
218.50	16225.77
219.00	16218.66
219.50	16212.23
220.00	16220.00
220.50	16222.37
221.00	16223.97
221.50	16220.94
222.00	16222.69
222.50	16223.67
223.00	16220.35
223.50	16218.87
224.00	16222.32
224.50	16224.30
225.00	16220.09
225.50	16217.98
226.00	16222.04
226.50	16223.86
227.00	16219.29
227.50	16218.59
228.00	16221.81
228.50	16225.07
229.00	16222.58
229.50	16217.37
230.00	16221.39
230.50	16226.32
231.00	16224.76
231.50	16223.18
232.00	16217.92
232.50	16223.55
233.00	16224.30
233.50	16221.38
234.00	16221.76
234.50	16220.27
235.00	16220.60
235.50	16219.92
236.00	16220.99
236.50	16224.65
237.00	16223.14
237.50	16220.35
238.00	16220.76
238.50	16220.39
239.00	16225.96
239.50	16223.04
240.00	16221.29
240.50	16223.66
241.00	16224.19
241.50	16224.35
242.00	16220.94
242.50	16218.02
243.00	16224.67
243.50	16218.14
244.00	16224.62
244.50	16219.38
245.00	16225.79
245.50	16224.00
246.00	16222.49
246.50	16223.09
247.00	16223.18
247.50	16222.00
248.00	16222.58
248.50	16219.67
249.00	16226.38
249.50	16220.14
250.00	16223.78
250.50	16219.04
251.00	16218.66
251.50	16222.62
252.00	16223.14
252.50	16222.89
253.00	16221.80
253.50	16220.99
254.00	16225.03
254.50	16221.00
255.00	16221.56
255.50	16222.41
256.00	16221.43
256.50	16223.56
257.00	16214.90
257.50	16224.30
258.00	16221.61
258.50	16224.77
259.00	16222.49
259.50	16216.90
260.00	16225.02
260.50	16223.23
261.00	16221.52
261.50	16220.02
262.00	16221.98
262.50	16212.24
263.00	16220.83
263.50	16220.37
264.00	16202.64
264.50	16222.05
265.00	16224.58
265.50	16219.45
266.00	16223.06
266.50	16223.59
267.00	16226.52
267.50	16223.23
268.00	16216.22
268.50	16226.13
269.00	16219.96
269.50	16223.98
270.00	16220.30
270.50	16224.31
271.00	16224.95
271.50	16221.86
272.00	16220.63
272.50	16768.15
273.00	22465.88
273.50	22484.50
274.00	22486.67
274.50	22485.05
275.00	22489.44
275.50	22485.14
276.00	22487.44
276.50	22488.95
277.00	22490.98
277.50	22489.51
278.00	22485.82
278.50	22484.50
279.00	22488.12
279.50	22480.50
280.00	22489.88
280.50	22490.63
281.00	22487.83
281.50	22492.00
282.00	22490.86
282.50	22490.88
283.00	22489.13
283.50	22486.88
284.00	22485.07
284.50	22490.14
285.00	22485.09
285.50	22484.72
286.00	22485.00
286.50	22487.31
287.00	22483.42
287.50	22481.78
288.00	22485.21
288.50	22488.47
289.00	22485.81
289.50	22484.96
290.00	22487.35
290.50	22486.59
291.00	22478.10
291.50	22482.47
292.00	22487.84
292.50	22486.05
293.00	22487.19
293.50	22486.40
294.00	22484.08
294.50	22486.12
295.00	22479.55
295.50	22485.75
296.00	22487.10
296.50	22489.81
297.00	22487.06
297.50	22487.51
298.00	22484.11
298.50	22482.51
299.00	22488.12
299.50	22482.20
300.00	22486.50
300.50	22480.62
301.00	22482.77
301.50	22483.15
302.00	22480.21
302.50	22481.73
303.00	22481.48
303.50	22482.49
304.00	22486.17
304.50	22479.65
305.00	22481.71
305.50	22486.46
306.00	22485.32
306.50	22485.78
307.00	22484.15
307.50	22484.07
308.00	22481.85
308.50	22488.31
309.00	22487.49
309.50	22480.90
310.00	22480.04
310.50	22481.18
311.00	22483.10
311.50	22475.60
312.00	22480.55
312.50	22482.71
313.00	22482.68
313.50	22485.89
314.00	22482.47
314.50	22479.99
315.00	22477.64
315.50	22481.09
316.00	22477.67
316.50	22478.07
317.00	22477.86
317.50	22485.23
318.00	22484.44
318.50	22486.92
319.00	22485.35
319.50	22483.57
320.00	22486.54
320.50	22483.44
321.00	22486.22
321.50	22481.46
322.00	22485.09
322.50	22475.40
323.00	22464.90
323.50	22484.04
324.00	22483.23
324.50	22478.26
325.00	22475.26
325.50	22481.26
326.00	22483.21
326.50	22480.26
327.00	22478.36
327.50	22475.38
328.00	22484.30
328.50	22483.75
329.00	22477.95
329.50	22483.84
330.00	22485.83
330.50	22487.14
331.00	22485.25
331.50	22485.14
332.00	22482.68
332.50	23072.11
333.00	29218.84
333.50	29242.11
334.00	29248.33
334.50	29248.56
335.00	29249.32
335.50	29250.09
336.00	29254.73
336.50	29254.17
337.00	29252.94
337.50	29260.07
338.00	29257.92
338.50	29254.97
339.00	29251.07
339.50	29245.77
340.00	29247.78
340.50	29249.11
341.00	29252.48
341.50	29244.55
342.00	29250.12
342.50	29251.80
343.00	29252.19
343.50	29246.75
344.00	29248.59
344.50	29249.48
345.00	29249.08
345.50	29245.76
346.00	29245.38
346.50	29255.79
347.00	29247.07
347.50	29241.09
348.00	29250.95
348.50	29257.43
349.00	29248.55
349.50	29247.42
350.00	29253.31
350.50	29259.22
351.00	29252.04
351.50	29251.89
352.00	29251.34
352.50	29254.28
353.00	29248.20
353.50	29251.75
354.00	29256.16
354.50	29257.69
355.00	29242.74
355.50	29247.63
356.00	29248.32
356.50	29249.63
357.00	29241.27
357.50	29247.25
358.00	29253.22
358.50	29255.15
359.00	29248.43
359.50	29254.06
360.00	29250.51
360.50	29246.57
361.00	29250.94
361.50	29253.96
362.00	29252.11
362.50	29253.71
363.00	29253.31
363.50	29256.98
364.00	29252.23
364.50	29257.31
365.00	29252.56
365.50	29257.68
366.00	29255.33
366.50	29256.68
367.00	29248.99
367.50	29250.24
368.00	29253.11
368.50	29247.22
369.00	29250.89
369.50	29251.86
370.00	29244.86
370.50	29243.72
371.00	29252.26
371.50	29246.62
372.00	29247.62
372.50	29252.41
373.00	29251.22
373.50	29244.92
374.00	29253.60
