Elapsed_seconds	Rx-Mbps_[with_hdr]
189.50	4083.56
190.00	4083.65
190.50	4083.88
191.00	4083.86
191.50	4083.74
192.00	4083.33
192.50	4083.75
193.00	4083.50
193.50	4083.84
194.00	4083.87
194.50	4083.70
195.00	4083.61
195.50	4083.61
196.00	4083.71
196.50	4083.71
197.00	4083.52
197.50	4083.65
198.00	4083.69
198.50	4083.76
199.00	4083.71
199.50	4083.64
200.00	4083.53
200.50	4083.68
201.00	4083.60
201.50	4083.67
202.00	4083.71
202.50	4083.71
203.00	4083.70
203.50	4083.48
204.00	4083.42
204.50	4082.91
205.00	4083.46
205.50	4083.64
206.00	4083.64
206.50	4083.79
207.00	4082.96
207.50	4083.42
208.00	4083.59
208.50	4083.52
209.00	4083.48
209.50	4083.38
210.00	4083.85
210.50	4083.58
211.00	4083.59
211.50	4083.46
212.00	4083.57
212.50	4083.66
213.00	4083.72
213.50	4083.65
214.00	4083.64
214.50	4083.83
215.00	4082.69
215.50	4083.81
216.00	4083.79
216.50	4083.72
217.00	4083.78
217.50	4083.59
218.00	4083.66
218.50	4083.85
219.00	4080.40
219.50	4083.81
220.00	4083.73
220.50	4083.71
221.00	4083.80
221.50	4083.58
222.00	4083.38
222.50	4083.81
223.00	4083.75
223.50	4083.80
224.00	4083.42
224.50	4083.40
225.00	4083.84
225.50	4083.64
226.00	4083.35
226.50	4083.48
227.00	4083.49
227.50	4083.44
228.00	4083.61
228.50	4083.62
229.00	4083.82
229.50	4083.52
230.00	4083.64
230.50	4083.62
231.00	4083.67
231.50	4083.35
232.00	4083.44
232.50	4083.87
233.00	4083.64
233.50	4083.64
234.00	4083.47
234.50	4083.77
235.00	4083.59
235.50	4083.55
236.00	4083.43
236.50	4083.60
237.00	4082.69
237.50	4083.39
238.00	4083.27
238.50	4083.58
239.00	4083.74
239.50	4083.67
240.00	4083.46
240.50	4083.75
241.00	4542.81
241.50	6173.48
242.00	6172.85
242.50	6173.20
243.00	6173.27
243.50	6173.46
244.00	6173.12
244.50	6173.10
245.00	6173.22
245.50	6173.34
246.00	6173.04
246.50	6173.24
247.00	6173.20
247.50	6173.12
