Elapsed_seconds	Rx-Mbps_[with_hdr]
184.00	8062.80
184.50	8063.07
185.00	8060.27
185.50	8062.64
186.00	8063.12
186.50	8058.22
187.00	8066.62
187.50	8061.94
188.00	8062.07
188.50	8063.99
189.00	8063.25
189.50	8062.69
190.00	8061.01
190.50	8061.21
191.00	8058.06
191.50	8065.86
192.00	8060.08
192.50	8064.59
193.00	8060.62
193.50	10854.21
194.00	12111.79
194.50	12111.15
195.00	12112.41
195.50	12106.09
196.00	12109.14
196.50	12112.52
197.00	12113.69
197.50	12111.16
198.00	12111.15
198.50	12111.99
199.00	12112.37
199.50	12111.46
200.00	12107.14
200.50	12107.85
201.00	12109.96
201.50	12112.23
202.00	12112.50
202.50	12112.92
203.00	12111.74
203.50	12112.28
204.00	12108.46
204.50	12112.10
205.00	12112.90
205.50	12112.02
206.00	12108.33
206.50	12109.83
207.00	12114.53
207.50	12111.64
208.00	12108.60
208.50	12110.51
209.00	12113.16
209.50	12112.52
210.00	12110.18
210.50	12109.87
211.00	12112.36
211.50	12115.61
212.00	12113.23
212.50	12111.25
213.00	12109.64
213.50	12113.81
214.00	12112.33
214.50	12110.48
215.00	12113.54
215.50	12108.68
216.00	12110.68
216.50	12111.61
217.00	12110.85
217.50	12114.23
218.00	12110.92
218.50	12110.17
219.00	12110.24
219.50	12113.61
220.00	12113.55
220.50	12112.80
221.00	12111.11
221.50	12114.10
222.00	12112.35
222.50	12114.24
223.00	12106.70
223.50	12113.47
224.00	12110.40
224.50	12112.69
225.00	12111.09
225.50	12111.71
226.00	12114.72
226.50	12112.29
227.00	12112.88
227.50	12111.97
228.00	12111.04
228.50	12113.60
229.00	12110.22
229.50	12113.09
230.00	12115.03
230.50	12109.21
231.00	12113.09
231.50	12105.86
232.00	12112.62
232.50	12112.39
233.00	12113.02
233.50	12111.11
234.00	12111.94
234.50	12112.43
235.00	12113.80
235.50	12109.11
236.00	12113.02
236.50	12111.55
237.00	12112.62
237.50	12108.33
238.00	12110.60
238.50	12113.42
239.00	12112.87
239.50	12111.84
240.00	12108.73
240.50	12112.98
241.00	12112.98
241.50	12111.35
242.00	12111.20
242.50	12110.41
243.00	12114.63
243.50	12101.74
244.00	12110.00
244.50	12100.05
245.00	12109.54
245.50	12112.38
246.00	12111.79
246.50	12110.12
247.00	12114.73
247.50	12113.14
